Sample:	'20211010A(EM)
File name:	r-cds 1;15 2.FDS
Run date:	'08:09:17, 03/22/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	530.0 nm
EM  Start WL:	550.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	800 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
693.2	165.8
693.4	171.0
693.6	164.2
693.8	159.7
694.0	158.7
694.2	158.7
694.4	157.6
694.6	166.0
694.8	160.2
695.0	155.9
695.2	150.5
695.4	149.2
695.6	156.1
695.8	165.1
696.0	161.5
696.2	156.8
696.4	149.3
696.6	145.7
696.8	151.4
697.0	153.9
697.2	148.7
697.4	145.4
697.6	146.5
697.8	152.6
698.0	160.0
698.2	159.8
698.4	160.2
698.6	153.6
698.8	150.4
699.0	150.8
699.2	149.8
699.4	147.9
699.6	149.3
699.8	150.7
700.0	150.2
700.2	153.6
700.4	154.5
700.6	158.0
700.8	154.6
701.0	152.3
701.2	150.0
701.4	152.7
701.6	158.6
701.8	161.5
702.0	154.0
702.2	146.2
702.4	140.7
702.6	141.7
702.8	148.0
703.0	146.1
703.2	141.2
703.4	135.9
703.6	128.9
703.8	129.6
704.0	132.4
704.2	132.6
704.4	133.9
704.6	137.0
704.8	135.3
705.0	136.3
705.2	134.6
705.4	133.9
705.6	133.1
705.8	138.3
706.0	139.5
706.2	138.3
706.4	132.9
706.6	131.7
706.8	132.9
707.0	138.4
707.2	142.6
707.4	142.6
707.6	137.6
707.8	132.0
708.0	127.7
708.2	126.6
708.4	132.0
708.6	133.6
708.8	132.0
709.0	129.1
709.2	127.5
709.4	128.2
709.6	129.7
709.8	131.7
710.0	129.5
710.2	127.2
710.4	126.6
710.6	130.1
710.8	131.9
711.0	137.4
711.2	135.2
711.4	127.6
711.6	121.1
711.8	123.2
712.0	125.8
712.2	127.3
712.4	123.5
712.6	116.0
712.8	109.8
713.0	113.0
713.2	117.2
713.4	119.5
713.6	117.5
713.8	114.4
714.0	110.4
714.2	112.7
714.4	114.0
714.6	118.3
714.8	118.6
715.0	118.4
715.2	117.5
715.4	116.4
715.6	113.5
715.8	114.1
716.0	113.5
716.2	111.9
716.4	110.2
716.6	106.0
716.8	108.6
717.0	112.6
717.2	115.0
717.4	113.0
717.6	109.5
717.8	104.2
718.0	104.0
718.2	106.4
718.4	110.1
718.6	109.4
718.8	112.2
719.0	115.3
719.2	112.6
719.4	110.9
719.6	109.5
719.8	105.8
720.0	104.4
720.2	103.9
720.4	102.1
720.6	102.9
720.8	103.9
721.0	105.6
721.2	102.3
721.4	100.7
721.6	101.8
721.8	101.5
722.0	102.6
722.2	102.6
722.4	98.78
722.6	100.0
722.8	98.35
723.0	96.18
723.2	95.42
723.4	93.05
723.6	91.13
723.8	95.13
724.0	92.37
724.2	91.51
724.4	91.43
724.6	93.07
724.8	93.17
725.0	97.44
725.2	93.60
725.4	90.66
725.6	91.11
725.8	90.70
726.0	91.23
726.2	90.91
726.4	86.69
726.6	84.51
726.8	82.60
727.0	83.58
727.2	88.14
727.4	90.46
727.6	92.12
727.8	90.26
728.0	86.42
728.2	86.83
728.4	85.45
728.6	82.72
728.8	80.53
729.0	80.45
729.2	82.63
729.4	85.64
729.6	87.85
729.8	90.78
730.0	87.98
730.2	85.72
730.4	82.30
730.6	81.90
730.8	83.19
731.0	86.72
731.2	81.60
731.4	79.17
731.6	77.63
731.8	80.43
732.0	81.43
732.2	82.73
732.4	81.61
732.6	79.50
732.8	78.90
733.0	79.70
733.2	78.92
733.4	79.47
733.6	81.48
733.8	81.18
734.0	82.28
734.2	78.89
734.4	75.08
734.6	72.07
734.8	70.87
735.0	74.24
735.2	77.85
735.4	77.59
735.6	74.95
735.8	73.99
736.0	73.49
736.2	75.79
736.4	72.78
736.6	74.00
736.8	69.47
737.0	69.60
737.2	69.71
737.4	69.34
737.6	67.30
737.8	68.38
738.0	67.60
